open_strip_mean_max,open_flow_peak_min,close_strip_mean_max,close_flow_peak_min,window_s,min_active_s,min_inactive_s,real_delivery_active_frac,ad_active_frac,replay_active_frac,noise_active_frac,score
0.25,35,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.35,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.35,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.375,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.375,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.375,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.4,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.4,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,35,0.4,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.25,40,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.3,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.325,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.325,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.35,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.375,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.375,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.375,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.4,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.4,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,40,0.4,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.325,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.325,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.35,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.375,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.375,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.375,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.4,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.4,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,45,0.4,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.3,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.325,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.325,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.35,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.35,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.375,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.375,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.375,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.4,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.4,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.25,50,0.4,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.3,30,0.35,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.35,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.35,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.375,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.375,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.375,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.4,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.3,30,0.4,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
